epoch,acc,loss
0,0.009978477718650047,4.786883612431045
1,0.011739385551352996,4.7668487501340335
2,0.025337507148336883,4.592655823436462
3,0.032576794905004564,4.457104653207506
4,0.037370377338473704,4.371762585206126
5,0.040892193003879605,4.298111109275497
6,0.048327137187132045,4.255106767523991
7,0.05810995853240535,4.172652018207833
8,0.060751320228251755,4.103871956167331
9,0.06681666942978413,4.052551006529108
10,0.07650166250965036,4.009524155610043
11,0.0730776750571724,3.9890282477121533
12,0.08726276619776405,3.9157697129356865
13,0.09127372298101767,3.8643839893171266
14,0.09724124402283013,3.8331707055917157
